Student ID,Name,Age,Enrollment Year,Major,GPA,Email
S0447,Student 447,23,2021,Biology,2.96,student447@college.edu
S0448,Student 448,18,2021,Computer Science,3.38,student448@college.edu
S0449,Student 449,18,2019,Chemistry,3.56,student449@college.edu
S0450,Student 450,24,2019,Biology,2.47,student450@college.edu
S0451,Student 451,18,2022,Computer Science,3.83,student451@college.edu
S0452,Student 452,21,2021,Physics,3.67,student452@college.edu
S0453,Student 453,20,2022,Computer Science,3.21,student453@college.edu
S0454,Student 454,21,2020,Computer Science,2.5,student454@college.edu
S0455,Student 455,23,2019,Biology,2.53,student455@college.edu
S0456,Student 456,21,2022,Biology,3.51,student456@college.edu
S0457,Student 457,23,2022,Chemistry,2.88,student457@college.edu
S0458,Student 458,23,2019,Biology,3.2,student458@college.edu
S0459,Student 459,21,2021,Biology,3.07,student459@college.edu
S0460,Student 460,21,2019,Mathematics,3.67,student460@college.edu
S0461,Student 461,22,2020,Mathematics,3.4,student461@college.edu
S0462,Student 462,22,2021,Computer Science,3.05,student462@college.edu
S0463,Student 463,18,2021,Computer Science,2.27,student463@college.edu
S0464,Student 464,23,2021,Mathematics,3.88,student464@college.edu
S0465,Student 465,21,2022,Physics,2.97,student465@college.edu
S0466,Student 466,18,2020,Biology,3.76,student466@college.edu
S0467,Student 467,19,2021,Biology,2.55,student467@college.edu
S0468,Student 468,25,2019,Mathematics,3.05,student468@college.edu
S0469,Student 469,22,2021,Biology,3.22,student469@college.edu
S0470,Student 470,19,2019,Chemistry,3.56,student470@college.edu
S0471,Student 471,19,2021,Biology,3.73,student471@college.edu
S0472,Student 472,23,2020,Mathematics,2.1,student472@college.edu
S0473,Student 473,19,2021,Biology,3.67,student473@college.edu
S0474,Student 474,25,2020,Computer Science,2.46,student474@college.edu
S0475,Student 475,20,2020,Physics,2.85,student475@college.edu
S0476,Student 476,25,2022,Chemistry,2.24,student476@college.edu
S0477,Student 477,21,2019,Computer Science,2.48,student477@college.edu
S0478,Student 478,21,2022,Mathematics,3.92,student478@college.edu
S0479,Student 479,18,2019,Physics,2.61,student479@college.edu
S0480,Student 480,21,2020,Biology,2.46,student480@college.edu
S0481,Student 481,24,2019,Mathematics,3.91,student481@college.edu
S0482,Student 482,25,2021,Physics,2.04,student482@college.edu
S0483,Student 483,19,2021,Biology,2.22,student483@college.edu
S0484,Student 484,19,2020,Biology,2.58,student484@college.edu
S0485,Student 485,23,2021,Mathematics,2.67,student485@college.edu
S0486,Student 486,21,2021,Biology,2.53,student486@college.edu
S0487,Student 487,19,2022,Computer Science,3.18,student487@college.edu
S0488,Student 488,24,2021,Physics,2.81,student488@college.edu
S0489,Student 489,19,2019,Biology,3.92,student489@college.edu
S0490,Student 490,18,2021,Biology,2.74,student490@college.edu
S0491,Student 491,22,2022,Mathematics,2.56,student491@college.edu
S0492,Student 492,18,2022,Computer Science,2.91,student492@college.edu
S0493,Student 493,18,2022,Biology,2.99,student493@college.edu
S0494,Student 494,20,2021,Mathematics,3.27,student494@college.edu
S0495,Student 495,21,2022,Physics,2.15,student495@college.edu
S0496,Student 496,25,2019,Chemistry,3.54,student496@college.edu
S0497,Student 497,20,2020,Mathematics,3.08,student497@college.edu
S0498,Student 498,21,2020,Computer Science,2.81,student498@college.edu
S0499,Student 499,24,2019,Computer Science,3.98,student499@college.edu
S0500,Student 500,25,2021,Physics,3.69,student500@college.edu
